"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Connecticut",151,"Middlesex",1,0,0,122,0,0
"Connecticut",151,"New Haven",1,0,5,123,53,0
"Connecticut",136,"New London",0,0,0,101,80,0
"Connecticut",136,"Tolland",0,0,0,119,0,0
"Connecticut",108,"Windham",0,0,0,241,0,0
"Country Of Mexico",191,"SONORA",2,0,0,129,64,80
"Delaware",122,"Kent",0,0,0,118,63,0
"Delaware",161,"New Castle",1,1,0,106,75,0
"Delaware",105,"Sussex",0,0,0,135,46,0
"District Of Columbia",101,"District of Columbia",0,1,4,98,79,0
"Florida",69,"Alachua",0,0,0,127,145,0
"Florida",75,"Baker",0,0,0,49,223,0
"Florida",92,"Bay",0,0,0,65,204,0
"Florida",80,"Brevard",0,0,0,228,45,0
"Florida",93,"Broward",0,0,60,70,109,0
"Florida",125,"Citrus",0,0,0,0,270,0
"Florida",71,"Collier",0,0,0,87,186,0
"Florida",80,"Columbia",0,0,0,43,230,0
"Florida",136,"Duval",0,1,2,45,134,0
"Florida",104,"Escambia",0,0,0,126,147,0
"Florida",77,"Flagler",0,0,0,272,0,0
"Florida",72,"Hamilton",0,0,0,0,260,0
"Florida",80,"Highlands",0,0,0,265,0,0
"Florida",122,"Hillsborough",0,1,1,95,174,3
"Florida",79,"Holmes",0,0,0,47,226,0
"Florida",77,"Indian River",0,0,0,199,0,0
"Florida",112,"Lake",0,0,0,268,0,0
"Florida",97,"Lee",0,0,0,146,127,0
"Florida",140,"Leon",0,0,0,32,149,0
"Florida",77,"Liberty",0,0,0,219,0,0
"Florida",97,"Manatee",0,0,0,181,0,0
"Florida",101,"Marion",0,0,0,95,177,0
"Florida",74,"Martin",0,0,0,111,162,0
"Florida",97,"Miami-Dade",0,1,12,46,215,0
"Florida",84,"Okaloosa",0,0,0,252,0,21
"Florida",105,"Orange",0,1,3,142,128,0
"Florida",105,"Osceola",0,0,0,155,118,0
"Florida",87,"Palm Beach",0,0,0,91,182,0
"Florida",115,"Pasco",0,0,0,273,0,0
"Florida",129,"Pinellas",0,1,0,128,145,0
"Florida",100,"Polk",0,0,0,268,0,0
"Florida",69,"Putnam",0,0,0,0,0,273
"Florida",80,"Santa Rosa",0,0,0,116,157,0
"Florida",84,"Sarasota",0,0,0,90,183,0
"Florida",97,"Seminole",0,0,0,187,85,0
"Florida",67,"St. Lucie",0,0,0,272,0,0
"Florida",90,"Volusia",0,0,0,142,131,0
"Florida",80,"Wakulla",0,6,0,72,104,0
"Georgia",119,"Bibb",0,0,0,39,232,0
"Georgia",61,"Charlton",0,0,0,0,19,0
"Georgia",90,"Chatham",0,0,0,77,196,0
"Georgia",89,"Clarke",0,0,0,106,167,0
"Georgia",74,"Clayton",0,0,0,0,81,0
"Georgia",74,"Cobb",0,0,0,208,6,0
"Georgia",78,"Coffee",0,0,0,0,243,0
"Georgia",97,"Dawson",0,0,0,213,0,0
"Georgia",90,"DeKalb",0,2,17,81,172,0
"Georgia",115,"Dougherty",0,0,0,0,243,0
"Georgia",97,"Douglas",0,0,0,98,0,0
"Georgia",78,"Floyd",0,0,0,0,236,0
"Georgia",129,"Fulton",0,1,12,109,152,0
"Georgia",94,"Glynn",0,0,0,142,145,0
"Georgia",84,"Gwinnett",0,0,0,119,154,0
"Georgia",82,"Hall",0,0,0,0,242,0
"Georgia",74,"Henry",0,0,0,127,142,0
"Georgia",93,"Houston",0,0,0,0,242,0
"Georgia",88,"Lowndes",0,0,0,0,243,0
"Georgia",112,"Murray",0,0,0,211,15,0
"Georgia",166,"Muscogee",2,0,0,66,206,0
"Georgia",93,"Pike",0,0,0,237,0,0
"Georgia",130,"Richmond",0,0,0,60,213,0
"Georgia",90,"Rockdale",0,0,0,211,0,0
"Georgia",181,"Walker",2,0,0,0,243,0
"Georgia",82,"Washington",0,0,0,0,242,0
"Hawaii",78,"Hawaii",0,0,0,0,201,0
"Hawaii",59,"Honolulu",0,1,0,122,59,0
"Hawaii",69,"Maui",0,0,0,0,181,0
"Idaho",97,"Ada",0,0,0,135,44,73
"Idaho",111,"Bannock",0,0,0,84,57,163
"Idaho",92,"Benewah",0,0,0,0,181,0
"Idaho",56,"Blaine",0,0,0,0,166,0
"Idaho",82,"Boise",0,0,0,0,181,0
"Idaho",74,"Bonner",0,0,0,0,178,3
"Idaho",68,"Bonneville",0,0,0,0,175,0
"Idaho",77,"Butte",0,0,0,222,0,0
"Idaho",65,"Canyon",0,0,0,0,164,15
"Idaho",13,"Custer",0,0,0,0,20,0
"Idaho",82,"Franklin",0,0,0,0,167,0
"Idaho",84,"Idaho",0,0,0,155,88,0
"Idaho",71,"Kootenai",0,0,0,0,181,0
"Idaho",52,"Latah",0,0,0,0,155,0
"Idaho",85,"Lemhi",0,0,0,0,181,0
"Idaho",89,"Nez Perce",0,0,0,0,181,0
